Date;Year;Open;High;Low;Close;Adj Close;Volume;Daily Stock Return Direction;Daily Stock Return (%);Daily Trading Volume Change (%);Price Anomaly Category;Volume Anomaly Category;Strong Anomaly
30/09/2020;2020;720;730;695;705;581.64;40,688,700;-;-1.3986;-14.478;Normal;Normal;No
01/10/2020;2020;710;740;710;735;606.39;45,502,700;+;4.2553;11.8313;Normal;Normal;No
02/10/2020;2020;735;735;705;725;598.14;56,903,300;-;-1.3605;25.0548;Normal;Normal;No
05/10/2020;2020;735;735;715;720;594.01;20,089,800;-;-0.6897;-64.6948;Normal;Sharp Volume Decrease;No
06/10/2020;2020;730;735;715;720;594.01;39,918,300;0;0;98.6993;Normal;Normal;No
07/10/2020;2020;715;720;710;715;589.89;22,001,600;-;-0.6944;-44.8834;Normal;Normal;No
08/10/2020;2020;720;730;715;720;594.01;28,843,100;+;0.6993;31.0955;Normal;Normal;No
09/10/2020;2020;730;775;725;765;631.14;175,465,400;+;6.25;508.3445;Sharp Price Increase;Sharp Volume Increase;Yes
12/10/2020;2020;780;790;765;780;643.52;108,451,600;+;1.9608;-38.192;Normal;Normal;No
13/10/2020;2020;780;780;760;765;631.14;47,798,000;-;-1.9231;-55.9269;Normal;Normal;No
14/10/2020;2020;775;955;775;955;787.89;1,116,793,100;+;24.8366;2236.485;Sharp Price Increase;Sharp Volume Increase;Yes
15/10/2020;2020;1,020.00;1,180.00;920;935;771.39;1,510,069,900;-;-2.0942;35.2148;Normal;Normal;No
16/10/2020;2020;960;995;920;940;775.52;638,756,000;+;0.5348;-57.7002;Normal;Sharp Volume Decrease;No
19/10/2020;2020;970;1,055.00;950;1,055.00;870.4;1,158,293,800;+;12.234;81.3359;Sharp Price Increase;Normal;No
20/10/2020;2020;1,055.00;1,065.00;1,020.00;1,035.00;853.9;789,265,700;-;-1.8957;-31.8596;Normal;Normal;No
21/10/2020;2020;1,050.00;1,145.00;1,050.00;1,100.00;907.52;1,370,011,500;+;6.2802;73.5805;Sharp Price Increase;Normal;No
22/10/2020;2020;1,100.00;1,120.00;1,075.00;1,085.00;895.15;465,407,900;-;-1.3636;-66.0289;Normal;Sharp Volume Decrease;No
23/10/2020;2020;1,095.00;1,120.00;1,060.00;1,085.00;895.15;392,722,300;0;0;-15.6176;Normal;Normal;No
26/10/2020;2020;1,090.00;1,095.00;1,060.00;1,060.00;874.52;183,290,100;-;-2.3041;-53.3283;Normal;Normal;No
27/10/2020;2020;1,050.00;1,095.00;1,050.00;1,055.00;870.4;333,734,100;-;-0.4717;82.0797;Normal;Normal;No
02/11/2020;2020;1,065.00;1,125.00;1,055.00;1,100.00;907.52;571,253,300;+;4.2654;71.1702;Normal;Normal;No
03/11/2020;2020;1,115.00;1,130.00;1,105.00;1,110.00;915.77;317,572,700;+;0.9091;-44.4077;Normal;Normal;No
04/11/2020;2020;1,125.00;1,145.00;1,100.00;1,105.00;911.65;410,216,500;-;-0.4505;29.1725;Normal;Normal;No
05/11/2020;2020;1,130.00;1,145.00;1,115.00;1,125.00;928.15;240,422,000;+;1.81;-41.3914;Normal;Normal;No
06/11/2020;2020;1,140.00;1,140.00;1,115.00;1,125.00;928.15;202,159,600;0;0;-15.9147;Normal;Normal;No
09/11/2020;2020;1,140.00;1,245.00;1,135.00;1,240.00;1,023.03;846,313,500;+;10.2222;318.6363;Sharp Price Increase;Sharp Volume Increase;Yes
